time,conc.uM,FSU
0:00:00,0,871.39
1:17:00,0,494.68
18:08:00,0,630.87
23:43:00,0,523.14
0:00:00,160,352.4
1:17:00,160,912.61
18:08:00,160,1095.5
23:43:00,160,1130.16
0:00:00,320,1066.36
1:17:00,320,745.55
18:08:00,320,1188.25
23:43:00,320,1281.69
0:00:00,480,1001.37
1:17:00,480,546.75
18:08:00,480,1005.98
23:43:00,480,976.79
0:00:00,640,1026.86
1:17:00,640,1003.99
18:08:00,640,1064.28
23:43:00,640,1185.56
0:00:00,800,999.65
1:17:00,800,1159.92
18:08:00,800,1757.66
23:43:00,800,1039.77
0:00:00,960,986.04
1:17:00,960,729.41
18:08:00,960,1175.52
23:43:00,960,1246.47
0:00:00,1120,1053.33
1:17:00,1120,617.24
18:08:00,1120,1048.18
23:43:00,1120,1089.82
0:00:00,1280,1131.68
1:17:00,1280,752.63
18:08:00,1280,1080.29
23:43:00,1280,1639.4
0:00:00,1440,770.62
1:17:00,1440,1201.97
18:08:00,1440,1566.47
23:43:00,1440,1461.9
0:00:00,1600,1062.69
1:17:00,1600,1203.43
18:08:00,1600,1638.34
23:43:00,1600,1296.75
