time,conc.uM,FSU
0:00:00,0,5132.64
1:17:00,0,759.99
15:54:00,0,870.42
21:38:00,0,587.48
0:00:00,160,12167.01
1:17:00,160,4020.81
15:54:00,160,20487.04
21:38:00,160,27532.44
0:00:00,320,16277.51
1:17:00,320,7004.7
15:54:00,320,27775.45
21:38:00,320,45215.93
0:00:00,480,17140.76
1:17:00,480,7655.01
15:54:00,480,35846.3
21:38:00,480,41448.48
0:00:00,640,26887.23
1:17:00,640,9482.97
15:54:00,640,44135.04
21:38:00,640,46539.85
0:00:00,800,30302.04
1:17:00,800,9864.25
15:54:00,800,46650.28
21:38:00,800,64153.34
0:00:00,960,44034.04
1:17:00,960,11323.43
15:54:00,960,43646.84
21:38:00,960,71831.35
0:00:00,1120,8305.75
1:17:00,1120,8652.36
15:54:00,1120,47851.78
21:38:00,1120,73939.68
0:00:00,1280,14969.89
1:17:00,1280,11338.8
15:54:00,1280,69792.91
21:38:00,1280,67191.37
0:00:00,1440,12973.28
1:17:00,1440,15228.92
15:54:00,1440,72919.64
21:38:00,1440,76525.49
0:00:00,1600,10600.68
1:17:00,1600,11061.47
15:54:00,1600,39868.31
21:38:00,1600,62849.06
