time,conc.uM,FSU
0:00:00,0,310
1:17:00,0,513.19
18:08:00,0,522.07
23:43:00,0,958.62
0:00:00,160,346.19
1:17:00,160,472.89
18:08:00,160,562.5
23:43:00,160,767.59
0:00:00,320,497.41
1:17:00,320,1242.56
18:08:00,320,879.27
23:43:00,320,1131.29
0:00:00,480,412.34
1:17:00,480,556.64
18:08:00,480,1559.21
23:43:00,480,814.11
0:00:00,640,407.27
1:17:00,640,602.22
18:08:00,640,1121.63
23:43:00,640,1294.66
0:00:00,800,901.98
1:17:00,800,628.9
18:08:00,800,1306.5
23:43:00,800,1266.31
0:00:00,960,456.83
1:17:00,960,1148.95
18:08:00,960,1326.25
23:43:00,960,1356.47
0:00:00,1120,566.74
1:17:00,1120,1126.92
18:08:00,1120,2109.3
23:43:00,1120,1617.23
0:00:00,1280,1778.35
1:17:00,1280,1100.08
18:08:00,1280,1547.1
23:43:00,1280,1531.97
0:00:00,1440,1037.76
1:17:00,1440,705.17
18:08:00,1440,2052.46
23:43:00,1440,1539.94
0:00:00,1600,617.54
1:17:00,1600,1232.84
18:08:00,1600,2452.08
23:43:00,1600,1847.15
