time,conc.uM,FSU
0:00:00,0,1084.89
1:17:00,0,1214.79
18:08:00,0,805.86
23:43:00,0,703.73
0:00:00,160,865.88
1:17:00,160,511.1
18:08:00,160,704.41
23:43:00,160,734.08
0:00:00,320,1145.96
1:17:00,320,1301.39
18:08:00,320,1498.28
23:43:00,320,1074.25
0:00:00,480,1087.12
1:17:00,480,1272.84
18:08:00,480,1466.9
23:43:00,480,950.12
0:00:00,640,939.31
1:17:00,640,943.44
18:08:00,640,1306.06
23:43:00,640,824.55
0:00:00,800,829.41
1:17:00,800,547.16
18:08:00,800,705.34
23:43:00,800,682.12
0:00:00,960,970.43
1:17:00,960,979.95
18:08:00,960,1191.41
23:43:00,960,847.93
0:00:00,1120,781.8
1:17:00,1120,511.66
18:08:00,1120,752.78
23:43:00,1120,700.61
0:00:00,1280,808.72
1:17:00,1280,594.64
18:08:00,1280,845.6
23:43:00,1280,816.86
0:00:00,1440,947.41
1:17:00,1440,837.34
18:08:00,1440,1442.4
23:43:00,1440,922.31
0:00:00,1600,1246.14
1:17:00,1600,1314.12
18:08:00,1600,1797.18
23:43:00,1600,1304.83
