time,conc.uM,FSU
0:00:00,0,1003.02
1:17:00,0,1246.66
18:08:00,0,1193.6
23:43:00,0,661.88
0:00:00,160,985.32
1:17:00,160,1223.54
18:08:00,160,6745.13
23:43:00,160,7800.64
0:00:00,320,1457.46
1:17:00,320,1654.25
18:08:00,320,12338.21
23:43:00,320,13611.69
0:00:00,480,1341.63
1:17:00,480,2316.34
18:08:00,480,10128.93
23:43:00,480,14743.1
0:00:00,640,1252.57
1:17:00,640,2155.69
18:08:00,640,11873.1
23:43:00,640,12980.97
0:00:00,800,1386.49
1:17:00,800,1359.61
18:08:00,800,11522.94
23:43:00,800,14427.35
0:00:00,960,1407.87
1:17:00,960,1747.4
18:08:00,960,14300.09
23:43:00,960,15080.29
0:00:00,1120,1473.35
1:17:00,1120,3125.5
18:08:00,1120,14460.25
23:43:00,1120,19238.22
0:00:00,1280,1491.07
1:17:00,1280,1729.33
18:08:00,1280,12050.65
23:43:00,1280,15836.51
0:00:00,1440,1427.14
1:17:00,1440,1949.3
18:08:00,1440,12824.92
23:43:00,1440,16752.18
0:00:00,1600,1220.21
1:17:00,1600,2586.37
18:08:00,1600,17438.1
23:43:00,1600,18980.85
