time,conc.uM,FSU
0:00:00,0,813.68
1:17:00,0,1592.26
18:08:00,0,990.25
23:43:00,0,612.87
0:00:00,160,846.28
1:17:00,160,607.52
18:08:00,160,1462.31
23:43:00,160,2850.04
0:00:00,320,1222.9
1:17:00,320,1087.55
18:08:00,320,3464.03
23:43:00,320,4614.85
0:00:00,480,875.54
1:17:00,480,768.04
18:08:00,480,2769.49
23:43:00,480,3243.84
0:00:00,640,1005.72
1:17:00,640,1284.79
18:08:00,640,3618.22
23:43:00,640,5998.59
0:00:00,800,1053.48
1:17:00,800,2168.72
18:08:00,800,4699.78
23:43:00,800,5304.83
0:00:00,960,1287.13
1:17:00,960,1009.2
18:08:00,960,3398.32
23:43:00,960,5997.65
0:00:00,1120,693.48
1:17:00,1120,802.3
18:08:00,1120,4444.66
23:43:00,1120,4989.06
0:00:00,1280,1126.99
1:17:00,1280,1437.06
18:08:00,1280,3664.93
23:43:00,1280,5670.95
0:00:00,1440,1297.62
1:17:00,1440,1387.34
18:08:00,1440,4947.88
23:43:00,1440,6399.05
0:00:00,1600,1238.68
1:17:00,1600,1649.51
18:08:00,1600,6187.04
23:43:00,1600,5859.26
