Substrate 8: L-Arginine-AMC,,
Treatment: Live,,
,,
time,conc.uM,FSU
0:00:00,0,625.4
4:15:00,0,656.16
16:44:00,0,812.89
19:30:00,0,862.68
21:50:00,0,926.53
0:00:00,160,1257.87
4:15:00,160,3133.92
16:44:00,160,10467.24
19:30:00,160,12020.39
21:50:00,160,13116.73
0:00:00,320,1414.21
4:15:00,320,3888.26
16:44:00,320,12499.26
19:30:00,320,16711.7
21:50:00,320,15368.58
0:00:00,480,1884.92
4:15:00,480,4328.72
16:44:00,480,13409.64
19:30:00,480,14437.54
21:50:00,480,17915.47
0:00:00,640,2413.54
4:15:00,640,4869.02
16:44:00,640,13429.9
19:30:00,640,14099.12
21:50:00,640,16396.19
0:00:00,800,2787.53
4:15:00,800,5153.25
16:44:00,800,14757.93
19:30:00,800,18143.91
21:50:00,800,20498.7
0:00:00,960,3082.21
4:15:00,960,5838.05
16:44:00,960,19503.78
19:30:00,960,18106.73
21:50:00,960,19592.95
0:00:00,1120,4258.26
4:15:00,1120,5638.76
16:44:00,1120,14945.41
19:30:00,1120,15896.17
21:50:00,1120,19543.79
0:00:00,1280,4108.46
4:15:00,1280,6332.48
16:44:00,1280,15578.67
19:30:00,1280,16202.62
21:50:00,1280,20584.96
0:00:00,1440,4483.11
4:15:00,1440,6861.56
16:44:00,1440,15417.7
19:30:00,1440,16889.68
21:50:00,1440,20621.49
0:00:00,1600,4814.61
4:15:00,1600,7579.01
16:44:00,1600,13206.72
19:30:00,1600,16777.3
21:50:00,1600,28300.68
