Substrate 7: Leucine-AMC,,
Treatment: LIVE,,
,,
time,conc.uM,FSU
0:00:00,0,538.6
4:15:00,0,507.48
16:44:00,0,566.09
19:30:00,0,582.94
21:50:00,0,629.64
0:00:00,160,1513.29
4:15:00,160,2751.71
16:44:00,160,7112.21
19:30:00,160,9443.97
21:50:00,160,9725.52
0:00:00,320,2877.77
4:15:00,320,5078.61
16:44:00,320,15084.64
19:30:00,320,18109.54
21:50:00,320,19768.17
0:00:00,480,3806
4:15:00,480,5176.73
16:44:00,480,12842.93
19:30:00,480,14655.32
21:50:00,480,17798.99
0:00:00,640,4168.21
4:15:00,640,6812.19
16:44:00,640,16402.43
19:30:00,640,19109.51
21:50:00,640,19205.2
0:00:00,800,5054.05
4:15:00,800,7094.35
16:44:00,800,16978.12
19:30:00,800,21328.71
21:50:00,800,22638.89
0:00:00,960,5018.71
4:15:00,960,7883.7
16:44:00,960,16628.27
19:30:00,960,20350.7
21:50:00,960,21359.1
0:00:00,1120,5407.43
4:15:00,1120,7570.3
16:44:00,1120,16915.02
19:30:00,1120,18095.74
21:50:00,1120,18958.9
0:00:00,1280,5945.77
4:15:00,1280,7394.23
16:44:00,1280,15829.43
19:30:00,1280,17763.02
21:50:00,1280,18433.59
0:00:00,1440,6957.18
4:15:00,1440,8538.72
16:44:00,1440,16143.01
19:30:00,1440,18880.21
21:50:00,1440,19854.94
0:00:00,1600,7320.26
4:15:00,1600,9404.65
16:44:00,1600,19488.82
19:30:00,1600,20801.77
21:50:00,1600,23056.27
