Substrate 10: Ornithine-AMC,,
Treatment: Live,,
,,
time,conc.uM,FSU
0:00:00,0,473.61
4:40:00,0,619.06
21:05:00,0,774.11
23:45:00,0,788.89
0:00:00,160,1652.37
4:40:00,160,3762.02
21:05:00,160,5184.82
23:45:00,160,5740.67
0:00:00,320,3585.33
4:40:00,320,5159.11
21:05:00,320,10613.6
23:45:00,320,12820.99
0:00:00,480,3298.78
4:40:00,480,4575.4
21:05:00,480,10111.44
23:45:00,480,10798.93
0:00:00,640,5544.87
4:40:00,480,8418.86
21:05:00,640,15451.32
23:45:00,640,18420.82
0:00:00,800,5711.99
4:40:00,800,8569.43
21:05:00,800,17212.03
23:45:00,800,20029.46
0:00:00,960,6457.77
4:40:00,960,8569.43
21:05:00,960,18062.55
23:45:00,960,18652.45
0:00:00,1120,6528.29
4:40:00,1120,17695.99
21:05:00,1120,19796.01
23:45:00,1120,23129.35
0:00:00,1280,5973.73
4:40:00,1280,9399.1
21:05:00,1280,19529.43
23:45:00,1280,20032.52
0:00:00,1440,8720.51
4:40:00,1440,13573.88
21:05:00,1440,27885.94
23:45:00,1440,28114.7
0:00:00,1600,9119.11
4:40:00,1600,11261.91
21:05:00,1600,22800.46
23:45:00,1600,25290.93
