Substrate 11: Phe-Arg-AMC,,
Treatment: Killed,,
,,
time,conc.uM,FSU
0:00:00,0,3283.86
4:40:00,0,3588.28
21:05:00,0,3853.92
23:45:00,0,3876.89
0:00:00,160,8174.95
4:40:00,160,7657.62
21:05:00,160,7492.09
23:45:00,160,7954.05
0:00:00,320,14082.81
4:40:00,320,13939.97
21:05:00,320,14110.65
23:45:00,320,14378.26
0:00:00,480,19159.98
4:40:00,480,17407.18
21:05:00,480,17186.22
23:45:00,480,18265.01
0:00:00,640,15100.06
4:40:00,640,12676.61
21:05:00,640,12600.34
23:45:00,640,13442.09
0:00:00,800,31188.12
4:40:00,800,26302.11
21:05:00,800,26179.35
23:45:00,800,27229.13
0:00:00,960,32184.58
4:40:00,960,30439.73
21:05:00,960,35825.78
23:45:00,960,36194.45
0:00:00,1120,48795.47
4:40:00,1120,52121.98
21:05:00,1120,54097.88
23:45:00,1120,53153.15
0:00:00,1280,56580.87
4:40:00,1280,53725.46
21:05:00,1280,59272.65
23:45:00,1280,61964.02
0:00:00,1440,63292.36
4:40:00,1440,58655.56
21:05:00,1440,62566.53
23:45:00,1440,64387.81
0:00:00,1600,63220.98
4:40:00,1600,64171.8
21:05:00,1600,64591.77
23:45:00,1600,73592.89
