trial,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
1,0:00:00,sample,mub-po4,1,live,800,14157.83
1,0:00:00,sample,mub-po4,2,live,800,12053.83
1,0:00:00,sample,mub-po4,3,live,800,13333.15
1,0:00:00,sample,mub-xylo,1,live,800,480.41
1,0:00:00,sample,mub-xylo,2,live,800,641.97
1,0:00:00,sample,mub-xylo,3,live,800,458.65
1,0:00:00,sample,mub-cell,1,live,800,777.59
1,0:00:00,sample,mub-cell,2,live,800,660.67
1,0:00:00,sample,mub-cell,3,live,800,772.32
1,0:00:00,sample,mub-nag,1,live,800,753.1
1,0:00:00,sample,mub-nag,2,live,800,813.35
1,0:00:00,sample,mub-nag,3,live,800,766.35
1,0:00:00,sample,mub-b-glu,1,live,800,697.15
1,0:00:00,sample,mub-b-glu,2,live,800,715.03
1,0:00:00,sample,mub-b-glu,3,live,800,792.38
1,0:00:00,sample,mub-a-glu,1,live,800,441.02
1,0:00:00,sample,mub-a-glu,2,live,800,396.22
1,0:00:00,sample,mub-a-glu,3,live,800,466.57
1,0:00:00,sample,leu-amc,1,live,800,4080.3
1,0:00:00,sample,leu-amc,2,live,800,3716.94
1,0:00:00,sample,leu-amc,3,live,800,1771.75
1,0:00:00,sample,arg-amc,1,live,800,1804.62
1,0:00:00,sample,arg-amc,2,live,800,1900.89
1,0:00:00,sample,arg-amc,3,live,800,1739.6
1,0:00:00,sample,pro-amc,1,live,800,1521.45
1,0:00:00,sample,pro-amc,2,live,800,5158.66
1,0:00:00,sample,pro-amc,3,live,800,5716.82
1,0:00:00,sample,orn-amc,1,live,800,4326.32
1,0:00:00,sample,orn-amc,2,live,800,2992.88
1,0:00:00,sample,orn-amc,3,live,800,3045.9
1,0:00:00,sample,phe-arg-amc,1,live,800,3385.69
1,0:00:00,sample,phe-arg-amc,2,live,800,4422.45
1,0:00:00,sample,phe-arg-amc,3,live,800,3340.85
1,0:00:00,sample,phe-val-arg-amc,1,live,800,4172.66
1,0:00:00,sample,phe-val-arg-amc,2,live,800,3745.63
1,0:00:00,sample,phe-val-arg-amc,3,live,800,4191.88
