depth.mbsf,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU,
43.15,0:00:00,sample,mub-po4,1,live,800,741.47,
43.15,0:00:00,sample,mub-po4,2,live,800,695.48,
43.15,0:00:00,sample,mub-po4,3,live,800,682.16,
43.15,0:00:00,sample,mub-xylo,1,live,800,103.7,
43.15,0:00:00,sample,mub-xylo,2,live,800,98.9,
43.15,0:00:00,sample,mub-xylo,3,live,800,,
43.15,0:00:00,sample,mub-cell,1,live,800,121.63,
43.15,0:00:00,sample,mub-cell,2,live,800,123.34,
43.15,0:00:00,sample,mub-cell,3,live,800,116.88,
43.15,0:00:00,sample,mub-nag,1,live,800,179.73,
43.15,0:00:00,sample,mub-nag,2,live,800,172.96,
43.15,0:00:00,sample,mub-nag,3,live,800,175.81,
43.15,0:00:00,sample,mub-b-glu,1,live,800,91.17,
43.15,0:00:00,sample,mub-b-glu,2,live,800,93.36,
43.15,0:00:00,sample,mub-b-glu,3,live,800,87.31,
43.15,0:00:00,sample,mub-a-glu,1,live,800,98.4,
43.15,0:00:00,sample,mub-a-glu,2,live,800,95.65,
43.15,0:00:00,sample,mub-a-glu,3,live,800,109.89,
43.15,0:00:00,sample,leu-amc,1,live,800,648.38,
43.15,0:00:00,sample,leu-amc,2,live,800,484.41,
43.15,0:00:00,sample,leu-amc,3,live,800,402.95,
43.15,0:00:00,sample,arg-amc,1,live,800,179.57,
43.15,0:00:00,sample,arg-amc,2,live,800,230.24,
43.15,0:00:00,sample,arg-amc,3,live,800,208.48,
43.15,0:00:00,sample,pro-amc,1,live,800,167.1,
43.15,0:00:00,sample,pro-amc,2,live,800,252.76,
43.15,0:00:00,sample,pro-amc,3,live,800,197.8,
43.15,0:00:00,sample,orn-amc,1,live,800,791.46,
43.15,0:00:00,sample,orn-amc,2,live,800,768.49,
43.15,0:00:00,sample,orn-amc,3,live,800,985.69,
43.15,0:00:00,sample,phe-arg-amc,1,live,800,540.8,
43.15,0:00:00,sample,phe-arg-amc,2,live,800,492.33,
43.15,0:00:00,sample,phe-arg-amc,3,live,800,561.95,
43.15,0:00:00,sample,phe-val-arg-amc,1,live,800,531.57,
43.15,0:00:00,sample,phe-val-arg-amc,2,live,800,463.53,
43.15,0:00:00,sample,phe-val-arg-amc,3,live,800,558.55,
43.15,0:00:00,sample,mub-po4,1,killed,800,422.31,
43.15,0:00:00,sample,mub-po4,2,killed,800,523.52,
43.15,0:00:00,sample,mub-po4,3,killed,800,511.31,
43.15,0:00:00,sample,mub-xylo,1,killed,800,100.14,
43.15,0:00:00,sample,mub-xylo,2,killed,800,97.23,
43.15,0:00:00,sample,mub-xylo,3,killed,800,94.03,
43.15,0:00:00,sample,mub-cell,1,killed,800,113.92,
43.15,0:00:00,sample,mub-cell,2,killed,800,119.77,
43.15,0:00:00,sample,mub-cell,3,killed,800,109.8,
43.15,0:00:00,sample,mub-nag,1,killed,800,155.07,
43.15,0:00:00,sample,mub-nag,2,killed,800,153.85,
43.15,0:00:00,sample,mub-nag,3,killed,800,160.65,
43.15,0:00:00,sample,mub-b-glu,1,killed,800,93.55,
43.15,0:00:00,sample,mub-b-glu,2,killed,800,108.13,
43.15,0:00:00,sample,mub-b-glu,3,killed,800,93.94,
43.15,0:00:00,sample,mub-a-glu,1,killed,800,96.3,
