depth.mbsf,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
68.12,0:00:00,sample,mub-po4,1,live,800,1060.35
68.12,0:00:00,sample,mub-po4,2,live,800,1010.18
68.12,0:00:00,sample,mub-po4,3,live,800,1073.79
68.12,0:00:00,sample,mub-xylo,1,live,800,66.48
68.12,0:00:00,sample,mub-xylo,2,live,800,69.54
68.12,0:00:00,sample,mub-xylo,3,live,800,65.58
68.12,0:00:00,sample,mub-cell,1,live,800,98.76
68.12,0:00:00,sample,mub-cell,2,live,800,103.34
68.12,0:00:00,sample,mub-cell,3,live,800,96.6
68.12,0:00:00,sample,mub-nag,1,live,800,187.31
68.12,0:00:00,sample,mub-nag,2,live,800,179.71
68.12,0:00:00,sample,mub-nag,3,live,800,190.51
68.12,0:00:00,sample,mub-b-glu,1,live,800,52.44
68.12,0:00:00,sample,mub-b-glu,2,live,800,53.51
68.12,0:00:00,sample,mub-b-glu,3,live,800,49.98
68.12,0:00:00,sample,mub-a-glu,1,live,800,58.43
68.12,0:00:00,sample,mub-a-glu,2,live,800,59.25
68.12,0:00:00,sample,mub-a-glu,3,live,800,58.91
68.12,0:00:00,sample,leu-amc,1,live,800,282.81
68.12,0:00:00,sample,leu-amc,2,live,800,256.88
68.12,0:00:00,sample,leu-amc,3,live,800,278.84
68.12,0:00:00,sample,arg-amc,1,live,800,162.99
68.12,0:00:00,sample,arg-amc,2,live,800,169.97
68.12,0:00:00,sample,arg-amc,3,live,800,176.06
68.12,0:00:00,sample,pro-amc,1,live,800,189.4
68.12,0:00:00,sample,pro-amc,2,live,800,195.71
68.12,0:00:00,sample,pro-amc,3,live,800,164.62
68.12,0:00:00,sample,orn-amc,1,live,800,1106.54
68.12,0:00:00,sample,orn-amc,2,live,800,1138.98
68.12,0:00:00,sample,orn-amc,3,live,800,1164.42
68.12,0:00:00,sample,phe-arg-amc,1,live,800,781.7
68.12,0:00:00,sample,phe-arg-amc,2,live,800,695.04
68.12,0:00:00,sample,phe-arg-amc,3,live,800,690.93
68.12,0:00:00,sample,phe-val-arg-amc,1,live,800,534.26
68.12,0:00:00,sample,phe-val-arg-amc,2,live,800,497.69
68.12,0:00:00,sample,phe-val-arg-amc,3,live,800,502.94
68.12,0:00:00,sample,mub-po4,1,killed,800,1031.35
68.12,0:00:00,sample,mub-po4,2,killed,800,1425.25
68.12,0:00:00,sample,mub-po4,3,killed,800,1009.32
68.12,0:00:00,sample,mub-xylo,1,killed,800,66.68
68.12,0:00:00,sample,mub-xylo,2,killed,800,66.93
68.12,0:00:00,sample,mub-xylo,3,killed,800,66.96
68.12,0:00:00,sample,mub-cell,1,killed,800,93.67
68.12,0:00:00,sample,mub-cell,2,killed,800,38.47
68.12,0:00:00,sample,mub-cell,3,killed,800,186.46
68.12,0:00:00,sample,mub-nag,1,killed,800,173.95
68.12,0:00:00,sample,mub-nag,2,killed,800,181.39
68.12,0:00:00,sample,mub-nag,3,killed,800,179.54
68.12,0:00:00,sample,mub-b-glu,1,killed,800,53.76
68.12,0:00:00,sample,mub-b-glu,2,killed,800,54.11
68.12,0:00:00,sample,mub-b-glu,3,killed,800,51.08
68.12,0:00:00,sample,mub-a-glu,1,killed,800,60.71
68.12,0:00:00,sample,mub-a-glu,2,killed,800,57.18
68.12,0:00:00,sample,mub-a-glu,3,killed,800,60.95
68.12,0:00:00,sample,leu-amc,1,killed,800,427.8
68.12,0:00:00,sample,leu-amc,2,killed,800,239.63
68.12,0:00:00,sample,leu-amc,3,killed,800,392.26
68.12,0:00:00,sample,arg-amc,1,killed,800,166.48
68.12,0:00:00,sample,arg-amc,2,killed,800,246.45
68.12,0:00:00,sample,arg-amc,3,killed,800,151.39
68.12,0:00:00,sample,pro-amc,1,killed,800,161.06
68.12,0:00:00,sample,pro-amc,2,killed,800,168.84
68.12,0:00:00,sample,pro-amc,3,killed,800,146.2
68.12,0:00:00,sample,orn-amc,1,killed,800,984.71
68.12,0:00:00,sample,orn-amc,2,killed,800,1159.1
68.12,0:00:00,sample,orn-amc,3,killed,800,996.89
68.12,0:00:00,sample,phe-arg-amc,1,killed,800,632.15
68.12,0:00:00,sample,phe-arg-amc,2,killed,800,654.72
68.12,0:00:00,sample,phe-arg-amc,3,killed,800,678.01
68.12,0:00:00,sample,phe-val-arg-amc,1,killed,800,477.25
68.12,0:00:00,sample,phe-val-arg-amc,2,killed,800,454.86
