depth.mbsf,trial,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
37.5,2,0:00:00,sample,mub-po4,1,live,800,242.35
37.5,2,0:00:00,sample,mub-po4,2,live,800,248.95
37.5,2,0:00:00,sample,mub-po4,3,live,800,279.63
37.5,2,0:00:00,sample,mub-xylo,1,live,800,99.02
37.5,2,0:00:00,sample,mub-xylo,2,live,800,101.05
37.5,2,0:00:00,sample,mub-xylo,3,live,800,105.66
37.5,2,0:00:00,sample,mub-cell,1,live,800,54.46
37.5,2,0:00:00,sample,mub-cell,2,live,800,120.5
37.5,2,0:00:00,sample,mub-cell,3,live,800,81.71
37.5,2,0:00:00,sample,mub-nag,1,live,800,87.94
37.5,2,0:00:00,sample,mub-nag,2,live,800,93.03
37.5,2,0:00:00,sample,mub-nag,3,live,800,102.71
37.5,2,0:00:00,sample,mub-b-glu,1,live,800,78.46
37.5,2,0:00:00,sample,mub-b-glu,2,live,800,86.76
37.5,2,0:00:00,sample,mub-b-glu,3,live,800,83.37
37.5,2,0:00:00,sample,mub-a-glu,1,live,800,74.74
37.5,2,0:00:00,sample,mub-a-glu,2,live,800,74.84
37.5,2,0:00:00,sample,mub-a-glu,3,live,800,111.82
37.5,2,0:00:00,sample,leu-amc,1,live,800,395.82
37.5,2,0:00:00,sample,leu-amc,2,live,800,376.25
37.5,2,0:00:00,sample,leu-amc,3,live,800,394.71
37.5,2,0:00:00,sample,arg-amc,1,live,800,211.39
37.5,2,0:00:00,sample,arg-amc,2,live,800,176.7
37.5,2,0:00:00,sample,arg-amc,3,live,800,184.33
37.5,2,0:00:00,sample,pro-amc,1,live,800,195.87
37.5,2,0:00:00,sample,pro-amc,2,live,800,178.24
37.5,2,0:00:00,sample,pro-amc,3,live,800,186.52
37.5,2,0:00:00,sample,orn-amc,1,live,800,502.52
37.5,2,0:00:00,sample,orn-amc,2,live,800,641.06
37.5,2,0:00:00,sample,orn-amc,3,live,800,547
37.5,2,0:00:00,sample,phe-arg-amc,1,live,800,567.95
37.5,2,0:00:00,sample,phe-arg-amc,2,live,800,444.88
37.5,2,0:00:00,sample,phe-arg-amc,3,live,800,416.47
37.5,2,0:00:00,sample,phe-val-arg-amc,1,live,800,478.93
37.5,2,0:00:00,sample,phe-val-arg-amc,2,live,800,451.67
37.5,2,0:00:00,sample,phe-val-arg-amc,3,live,800,563.7
37.5,2,0:00:00,sample,mub-po4,1,killed,800,356.83
37.5,2,0:00:00,sample,mub-po4,2,killed,800,
37.5,2,0:00:00,sample,mub-po4,3,killed,800,
37.5,2,0:00:00,sample,mub-xylo,1,killed,800,107
37.5,2,0:00:00,sample,mub-xylo,2,killed,800,118.22
37.5,2,0:00:00,sample,mub-xylo,3,killed,800,106.13
37.5,2,0:00:00,sample,mub-cell,1,killed,800,139.57
37.5,2,0:00:00,sample,mub-cell,2,killed,800,98.7
37.5,2,0:00:00,sample,mub-cell,3,killed,800,126.96
37.5,2,0:00:00,sample,mub-nag,1,killed,800,129.78
37.5,2,0:00:00,sample,mub-nag,2,killed,800,155.08
37.5,2,0:00:00,sample,mub-nag,3,killed,800,137.81
37.5,2,0:00:00,sample,mub-b-glu,1,killed,800,117.4
37.5,2,0:00:00,sample,mub-b-glu,2,killed,800,118.01
37.5,2,0:00:00,sample,mub-b-glu,3,killed,800,183.76
37.5,2,0:00:00,sample,mub-a-glu,1,killed,800,135.34
37.5,2,0:00:00,sample,mub-a-glu,2,killed,800,116.24
37.5,2,0:00:00,sample,mub-a-glu,3,killed,800,115.57
37.5,2,0:00:00,sample,leu-amc,1,killed,800,419.57
37.5,2,0:00:00,sample,leu-amc,2,killed,800,396.39
37.5,2,0:00:00,sample,leu-amc,3,killed,800,476.08
37.5,2,0:00:00,sample,arg-amc,1,killed,800,213.21
37.5,2,0:00:00,sample,arg-amc,2,killed,800,213.21
37.5,2,0:00:00,sample,arg-amc,3,killed,800,267.83
37.5,2,0:00:00,sample,pro-amc,1,killed,800,231.33
37.5,2,0:00:00,sample,pro-amc,2,killed,800,199.92
37.5,2,0:00:00,sample,pro-amc,3,killed,800,192.11
37.5,2,0:00:00,sample,orn-amc,1,killed,800,871.21
37.5,2,0:00:00,sample,orn-amc,2,killed,800,735.95
37.5,2,0:00:00,sample,orn-amc,3,killed,800,1260.77
37.5,2,0:00:00,sample,phe-arg-amc,1,killed,800,457.07
37.5,2,0:00:00,sample,phe-arg-amc,2,killed,800,370.57
37.5,2,0:00:00,sample,phe-arg-amc,3,killed,800,366.37
37.5,2,0:00:00,sample,phe-val-arg-amc,1,killed,800,340.5
37.5,2,0:00:00,sample,phe-val-arg-amc,2,killed,800,342.05
37.5,2,0:00:00,sample,phe-val-arg-amc,3,killed,800,336.59
37.5,2,0:00:00,calib,mub-std,NA,live,0,81.65
37.5,2,0:00:00,calib,mub-std,NA,live,16,501.58
37.5,2,0:00:00,calib,mub-std,NA,live,32,834.69
37.5,2,0:00:00,calib,mub-std,NA,live,48,1415.37
37.5,2,0:00:00,calib,mub-std,NA,live,64,1856.58
37.5,2,0:00:00,calib,mub-std,NA,live,80,1206.52
37.5,2,0:00:00,calib,amc-std,NA,live,0,73.88
37.5,2,0:00:00,calib,amc-std,NA,live,16,4173.73
37.5,2,0:00:00,calib,amc-std,NA,live,32,8350.5
37.5,2,0:00:00,calib,amc-std,NA,live,48,14292.06
37.5,2,0:00:00,calib,amc-std,NA,live,64,20428.58
37.5,2,0:00:00,calib,amc-std,NA,live,80,14138.95
37.5,2,7:41:00,sample,mub-po4,1,live,800,821.82
37.5,2,7:41:00,sample,mub-po4,2,live,800,829.12
37.5,2,7:41:00,sample,mub-po4,3,live,800,922.19
37.5,2,7:41:00,sample,mub-xylo,1,live,800,155.89
37.5,2,7:41:00,sample,mub-xylo,2,live,800,167.8
37.5,2,7:41:00,sample,mub-xylo,3,live,800,157.55
37.5,2,7:41:00,sample,mub-cell,1,live,800,75.63
37.5,2,7:41:00,sample,mub-cell,2,live,800,193.56
37.5,2,7:41:00,sample,mub-cell,3,live,800,124.45
37.5,2,7:41:00,sample,mub-nag,1,live,800,224.73
37.5,2,7:41:00,sample,mub-nag,2,live,800,245.62
37.5,2,7:41:00,sample,mub-nag,3,live,800,266.13
37.5,2,7:41:00,sample,mub-b-glu,1,live,800,276.92
37.5,2,7:41:00,sample,mub-b-glu,2,live,800,272.51
37.5,2,7:41:00,sample,mub-b-glu,3,live,800,295.83
37.5,2,7:41:00,sample,mub-a-glu,1,live,800,119.74
