depth.mbsf,time,sample.calib,rep,treatment,conc.uM,RFU
11.1,0:00,sample,1,live,0,225.03
11.1,0:00,sample,1,live,80,422.52
11.1,0:00,sample,1,live,160,531.81
11.1,0:00,sample,1,live,240,1002.7
11.1,0:00,sample,1,live,320,788.15
11.1,0:00,sample,1,live,400,1012.57
11.1,0:00,sample,1,live,480,1071.46
11.1,0:00,sample,1,live,560,1219.06
11.1,0:00,sample,1,live,640,1266.15
11.1,0:00,sample,1,live,720,1544.04
11.1,0:00,sample,1,live,800,2495.68
11.1,0:00,sample,2,live,0,275.61
11.1,0:00,sample,2,live,80,403.23
11.1,0:00,sample,2,live,160,742.69
11.1,0:00,sample,2,live,240,646.08
11.1,0:00,sample,2,live,320,859.57
11.1,0:00,sample,2,live,400,1021.86
11.1,0:00,sample,2,live,480,1116.3
11.1,0:00,sample,2,live,560,1117.06
11.1,0:00,sample,2,live,640,1561.84
11.1,0:00,sample,2,live,720,2301.69
11.1,0:00,sample,2,live,800,
11.1,0:00,sample,1,killed,0,175.54
11.1,0:00,sample,1,killed,80,214.61
11.1,0:00,sample,1,killed,160,259.87
11.1,0:00,sample,1,killed,240,376.47
11.1,0:00,sample,1,killed,320,391.21
11.1,0:00,sample,1,killed,400,473.58
11.1,0:00,sample,1,killed,480,522.44
11.1,0:00,sample,1,killed,560,532.88
11.1,0:00,sample,1,killed,640,607.37
11.1,0:00,sample,1,killed,720,715.29
11.1,0:00,sample,1,killed,800,547.94
11.1,0:00,sample,2,killed,0,163.51
11.1,0:00,sample,2,killed,80,205.45
11.1,0:00,sample,2,killed,160,284.26
11.1,0:00,sample,2,killed,240,282.89
11.1,0:00,sample,2,killed,320,357.81
11.1,0:00,sample,2,killed,400,452.07
11.1,0:00,sample,2,killed,480,533.72
11.1,0:00,sample,2,killed,560,532.95
11.1,0:00,sample,2,killed,640,699.2
11.1,0:00,sample,2,killed,720,660.54
11.1,0:00,sample,2,killed,800,
11.1,0:00,calib,1,live,10,16700.93
11.1,0:00,calib,1,live,20,39579.01
11.1,0:00,calib,1,live,30,55955
11.1,0:00,calib,1,live,40,70255.42
11.1,0:00,calib,1,live,50,78921.64
11.1,0:00,calib,1,live,60,97500.41
11.1,0:00,calib,1,live,70,111912.75
11.1,5:35,sample,1,live,0,283.13
11.1,5:35,sample,1,live,80,2567.5
11.1,5:35,sample,1,live,160,3399.28
11.1,5:35,sample,1,live,240,4498.94
11.1,5:35,sample,1,live,320,4068.49
11.1,5:35,sample,1,live,400,4860.91
11.1,5:35,sample,1,live,480,4624.85
11.1,5:35,sample,1,live,560,4624.51
11.1,5:35,sample,1,live,640,4133.15
11.1,5:35,sample,1,live,720,4639.5
11.1,5:35,sample,1,live,800,5144.8
11.1,5:35,sample,2,live,0,294
11.1,5:35,sample,2,live,80,2385.86
11.1,5:35,sample,2,live,160,3428.21
11.1,5:35,sample,2,live,240,3490.12
11.1,5:35,sample,2,live,320,4149.56
11.1,5:35,sample,2,live,400,4917.87
11.1,5:35,sample,2,live,480,4548.05
11.1,5:35,sample,2,live,560,4712.46
