depth.mbsf,time.hr,sample.calib,rep,treatment,conc.uM,RFU
37.5,0:00,sample,1,live,0,233.8
37.5,0:00,sample,1,live,80,240.5
37.5,0:00,sample,1,live,160,343.06
37.5,0:00,sample,1,live,240,395.09
37.5,0:00,sample,1,live,320,530.68
37.5,0:00,sample,1,live,400,714.88
37.5,0:00,sample,1,live,480,553.45
37.5,0:00,sample,1,live,560,637.27
37.5,0:00,sample,1,live,640,778.1
37.5,0:00,sample,1,live,720,747.74
37.5,0:00,sample,2,live,0,181.59
37.5,0:00,sample,2,live,80,239.93
37.5,0:00,sample,2,live,160,293.92
37.5,0:00,sample,2,live,240,421.09
37.5,0:00,sample,2,live,320,409.09
37.5,0:00,sample,2,live,400,482.65
37.5,0:00,sample,2,live,480,581.26
37.5,0:00,sample,2,live,560,734.18
37.5,0:00,sample,2,live,640,796.05
37.5,0:00,sample,2,live,720,903.88
37.5,0:00,sample,1,killed,0,718.57
37.5,0:00,sample,1,killed,80,743.4
37.5,0:00,sample,1,killed,160,906.55
37.5,0:00,sample,1,killed,240,1145.33
37.5,0:00,sample,1,killed,320,1434.9
37.5,0:00,sample,1,killed,400,1790.11
37.5,0:00,sample,1,killed,480,2023.43
37.5,0:00,sample,1,killed,560,2240.62
37.5,0:00,sample,1,killed,640,1930.1
37.5,0:00,sample,1,killed,720,2192.56
37.5,0:00,sample,2,killed,0,613.29
37.5,0:00,sample,2,killed,80,782.46
37.5,0:00,sample,2,killed,160,597.9
37.5,0:00,sample,2,killed,240,1226.4
37.5,0:00,sample,2,killed,320,1593.44
37.5,0:00,sample,2,killed,400,1806.52
37.5,0:00,sample,2,killed,480,1818.96
37.5,0:00,sample,2,killed,560,1825.31
37.5,0:00,sample,2,killed,640,1741.29
37.5,0:00,sample,2,killed,720,2267.83
37.5,0:00,calib,1,live,0,280.12
37.5,0:00,calib,1,live,10,11580.3
37.5,0:00,calib,1,live,20,28741.05
37.5,0:00,calib,1,live,30,42689.13
37.5,0:00,calib,1,live,40,58591.8
37.5,0:00,calib,1,live,50,68963.82
37.5,48:00:00,sample,1,live,0,304.75
37.5,48:00:00,sample,1,live,80,3426.9
37.5,48:00:00,sample,1,live,160,4784.18
37.5,48:00:00,sample,1,live,240,5793.78
37.5,48:00:00,sample,1,live,320,6753.29
37.5,48:00:00,sample,1,live,400,6473.35
37.5,48:00:00,sample,1,live,480,6615.44
37.5,48:00:00,sample,1,live,560,6789.85
37.5,48:00:00,sample,1,live,640,7051.41
37.5,48:00:00,sample,1,live,720,7468.22
37.5,48:00:00,sample,2,live,0,302.35
37.5,48:00:00,sample,2,live,80,2922.8
37.5,48:00:00,sample,2,live,160,4489.4
37.5,48:00:00,sample,2,live,240,5842.79
37.5,48:00:00,sample,2,live,320,5421.39
37.5,48:00:00,sample,2,live,400,6709.88
37.5,48:00:00,sample,2,live,480,8508.32
37.5,48:00:00,sample,2,live,560,5726.28
37.5,48:00:00,sample,2,live,640,7673.84
37.5,48:00:00,sample,2,live,720,8026.95
37.5,48:00:00,sample,1,killed,0,1066.92
37.5,48:00:00,sample,1,killed,80,970.89
37.5,48:00:00,sample,1,killed,160,1235.36
37.5,48:00:00,sample,1,killed,240,1472.1
37.5,48:00:00,sample,1,killed,320,1790.2
37.5,48:00:00,sample,1,killed,400,2084
37.5,48:00:00,sample,1,killed,480,2468.2
37.5,48:00:00,sample,1,killed,560,1800.62
37.5,48:00:00,sample,1,killed,640,2146.48
37.5,48:00:00,sample,1,killed,720,2264.24
37.5,48:00:00,sample,2,killed,0,962.77
37.5,48:00:00,sample,2,killed,80,1158.4
37.5,48:00:00,sample,2,killed,160,790.49
37.5,48:00:00,sample,2,killed,240,1557.54
37.5,48:00:00,sample,2,killed,320,1972.66
37.5,48:00:00,sample,2,killed,400,2075.39
37.5,48:00:00,sample,2,killed,480,2204.24
37.5,48:00:00,sample,2,killed,560,2058.33
37.5,48:00:00,sample,2,killed,640,1811.33
37.5,48:00:00,sample,2,killed,720,2732.16
37.5,48:00:00,calib,1,live,0,451.12
37.5,48:00:00,calib,1,live,10,17576.56
37.5,48:00:00,calib,1,live,20,48002.39
37.5,48:00:00,calib,1,live,30,61293.25
37.5,48:00:00,calib,1,live,40,82890.65
37.5,48:00:00,calib,1,live,50,90290.45
