depth.m,cells,core
1.4,490870000,59C
7.7,371424966.7,59C
8.2,503550808.3,59C
14.05,503550808.3,59C
17.6,317701972.2,59C
27.5,369547017,59C
37.5,539957000,59C
44.6,99810233.33,59C
54.95,531321324.1,59C
65,262898644.2,59C
74.62,45905435.19,59C
77.92,68176388.89,59C
1.41,535593711.1,59E
2.05,683400122.2,59E
11.42,400877166.7,59E
21.2,352771906.7,59E
22.4,378515311.1,59E
31.62,281977544.4,59E
42.3,512686444.4,59E
41.1,750974678.2,59E
51,317429266.7,59E
62.15,183258133.3,59E
60.9,155987577.8,59E
71.64,105809755.6,59E
70.81,110173044.4,59E
81.7,40623724.14,59E
80.72,122172088.9,59E
